app_num,app_date,title,abstract,inventors,CPCs
1020150082811 ,2015.06.11,휴대용 세차 장치,본 발명은 사용자가 간편하게 차량을 세차하기 위한 휴대용 세차 장치에 관한 것으로 본 발명은 세척액을 저장하는 저장트레이를 포함하여 구성되는 본체부와 상기 본체부에 대한 상대적 이동에 의해 상기 본체부에 저장되는 세척액을 선택적으로 배출시키는 결합부 그리고 상기 결합부와 결합되며 대상물에 밀착되어 이물질을 제거하는 닦음부재를 포함하여 구성되는 휴대용 세차 장치를 포함하며 본 발명은 물 사용량을 최소화시켜 세차 후 배출되는 배수량을 줄일 수 있어 장소의 제약없이 세차를 할 수 있는 효과가 있다.,김민석(대한민국),B60S 3/044;B60S 3/045
1020130114953 ,2013.09.27,화영벼의 약배양 후손 계통 중 벼 흰잎마름병 저항성 계통의 판별을 위한 ＳＮＰ 마커,본 발명은 화영벼의 약배양 후손 특이적인 SNPs에 관한 것으로 본 발명의 SNP 마커들을 통하여 벼 흰잎마름병 저항성을 가지는 화영벼의 약배양 후손인 BLB 계통을 특이적으로 판별할 수 있어 품종 구별 마커로 이용될 수 있다.,김태호(대한민국);윤도원(대한민국);윤웅한(대한민국);이강섭(대한민국);이현주(대한민국);정인선(대한민국);지현소(대한민국),C12Q 1/6895;C12Q 2600/156
1020110084648 ,2011.08.23,디딤판이 장입된 안전화 중창 및 이의 제조방법 ,본 발명은 디딤판이 장입된 안전화 중창 및 이의 제조방법에 관한 것으로 보다 상세하게는 방탄 소재인 디딤판(일명 내답판)을 중창의 중심부에 장입(inserting)후 이중 구조의 PU 폼으로 폴링하여 구성한 안전화 중창에 관한 것이다.이의 발명 요지는 안전화의 중창을 제조하는 제1 금형의 중심부에 디딤판을 장입후 저비중 연질 PU 폼을 상기 디딤판의 주위에 주입 후 열 컨베이어를 통과시켜 디딤판(50)과 저 비중 연질 PU 폼(60)을 일체형으로 만든 다음 상기 디딤판(50)이 장입된 저 비중 연질 PU 폼(60)을 다시 제2 금형의 상 하부 금형(34)의 고정핀 (7)사이에 고정 장착한 후 인열 및 가수분해에 강한 고경도 PU 폼을 제2 금형의 상 하부 금형(34)사이에 주입한 다음 열 컨베이어를 통과시킴으로서 디딤판이 장입된 저비중 연질 PU 폼과 고경도 PU 폼을 일체형 구조로 한 안전화의 이중성 PU 폼 중창에 관한 것으로 이는 종래에 비하여 가볍고 발을 보호 할 뿐만 아니라 충격을 흡수하고 분산시키는 특징이 있다.디딤판이 장입된 안전화 중창 디딤판 저비중 연질 PU 폼 고경도 PU 폼,서용식(대한민국),A43B 13/04;A43B 13/12;A43B 13/125;A43B 13/127;A43B 13/24;B29C 44/06;B29D 35/122
1020170092177 ,2017.07.20,블랙카본 측정 장치,블랙카본 측정 장치가 개시된다. 본 발명의 일 측면에 따른 블랙카본 측정 장치는 광원을 출력하는 발광원 내부를 통과하여 형성되는 복수의 광로를 포함하고 복수의 광로를 통해 발광원에서 출력되는 광원을 통과시키는 광가이드 블록 복수의 광로를 통과하는 각각의 광원을 검출하기 위해 복수의 광로에 상응하여 설치되는 복수의 검출기 복수의 검출기를 통해 검출된 광원의 검출 데이터로부터 블랙카본의 농도를 계산하는 프로세서 발광원과 광가이드 블록의 사이에 위치하며 발광원에서 조사되는 광원을 균일하게 산란시켜 복수의 광로로 가이드 하는 광분산 블록을 포함한다.,김설중(대한민국);김성렬(대한민국);노경원(대한민국);백승무(대한민국);이명수(대한민국);이상운(대한민국);이효영(대한민국),G01N 15/0205;G01N 2021/0137;G01N 2021/8816;G01N 21/33;G01N 21/8806;G01N 21/94
1020150085090 ,2015.06.16,초록색 고춧가루의 제조방법 및 이에 의해 제조된 초록색 고춧가루,본 발명은 초록색 고춧가루의 제조방법 및 이에 의해 제조된 초록색 고춧가루에 관한 것이다. 본 발명에 따른 초록색 고춧가루의 제조방법은 이물질 및 오염물질을 제거하기 위하여 생고추의 표면을 세척하는 세척 단계(S100) 상기 세척 단계(S100)를 거친 생고추를 탈수하고 탈수된 생고추를 절단장치를 이용하여 10 내지 15mm 간격으로 세로로 절단하는 세절 단계(S200) 상기 세절 단계(S200)에서 세절된 생고추를 감압하여 진공분위기 하에서 보관하는 진공 압축 단계(S300) 상기 진공 압축 단계(S300)에서 보관된 생고추에 마이크로웨이브를 조사하여 건조하는 1차 진공 건조 단계(S400) 상기 1차 진공 건조 단계(S400)에서 건조된 생고추가 보관된 용기를 압축하여 감압분위기를 조성한 후 마이크로웨이브를 조사하여 건조하는 2차 진공 건조 단계(S500) 상기 2차 진공 건조 단계(S500)에서 건조된 생고추가 보관된 용기를 압축하여 감압분위기를 조성한 후 마이크로웨이브를 조사하여 건조하는 3차 진공 건조 단계(S600) 및 상기 3차 진공 건조 단계(S600)에서 건조된 생고추를 분쇄하여 고춧가루를 제조하는 분말화 단계(S700)를 포함한다. 상기한 구성에 의해 본 발명은 초록색의 생고추에 마이크로웨이브를 조사하여 저온에서 고속 건조한 후 분쇄하여 고춧가루를 제조함으로써 고추의 건조가공 시간을 단축할 수 있고 영양소 파괴를 최소화하여 고추 고유의 맛과 향 영양이 그대로 살아 있는 초록색 고춧가루를 제조할 수 있고 소비자의 기호에 따른 다양한 색상 및 입맛을 충족시킬 수 있으며 건조 과정 중에 고추표면이 열화를 입지 않고 원색 그대로를 유지할 수 있어 상품성을 증진시킬 수 있다.,양영재(대한민국),A23L 1/0011;A23L 1/0255;A23L 1/223
1020110140819 ,2011.12.23,가로등형 탈취기,본 발명은 탈취기에 관한 것으로 보다 상세하게는 도로의 맨홀 또는 집수정에서 발생되는 악취 제거 및 가로등 겸용으로 활용할 수 있는 가로등형 탈취기에 관한 것이다.본 발명에 따른 가로등형 탈취기는 상단에 배기구가 형성되고 내부에는 맨홀 또는 집수정으로부터 발생되는 악취를 제거하기 위한 탈취기가 내장되는 가로등 지주와 상기 가로등 지주 내부의 하부에서부터 순차적으로 토양미생물이 부착된 화산석 또는 세라믹으로 이루어진 바이오필터담체 광에 의해 오존을 생성하는 석영관으로 이루어져 있는 오존램프부 활성탄 케미칼촉매 또는 활성탄에 화학물질을 코팅한 촉매 중 어느 하나인 촉매부 광촉매가 코팅된 원통형의 광촉매코팅망 및 광촉매코팅망 내부에 자외선램프가 형성되는 광촉매부가 형성되어 상기 맨홀 또는 집수정으로부터 발생되는 악취를 처리하여 배출하는 탈취기와 상기 가로등 지주 내부에 설치되며 상기 탈취기 상단부에 형성되고 상기 맨홀 또는 집수정 내의 악취원을 일정한 풍량으로 상승 처리하는 배기팬과 상기 맨홀 또는 집수정의 상단은 악취방지덮개가 씌여지며 상기 가로등 지주 하단부는 상기 악취방지덮개에 연결되고 상기 가로등 지주의 상단에는 전력의 자력생산을 위한 태양광발전장치와 풍력 발전장치가 마련되는 것을 특징으로 하여 이루어진다.,김 성호(대한민국),A61L 2209/212;A61L 9/01;A61L 9/205;A61L 9/22;F21V 21/116;F21W 2111/02;Y02B 20/72
1020107001387 ,2010.01.20,저온 유동성이 개선된 세정 첨가제 함유 광유,본 발명은 극성 그룹에 결합된 하나 이상의 알킬 또는 알케닐 라디칼을 포함하는 오일 가용성 양친매성 화합물(여기서 상기 알킬 또는 알케닐 라디칼은 10 내지 500개의 탄소 원자를 포함하고 상기 극성 그룹은 2개 이상의 질소 원자를 포함한다)인 하나 이상의 무회분 질소 함유 세정 첨가제 A)를 함유하는 중간 증류물에서 광유 저온 유동 개선제 C)의 반응 거동을 개선시키기 위한 파라핀 결정화용 핵 형성제로서 작용하고 실질적으로 선형인 탄소수 22 이상의 탄화수소로부터 선택된 하나 이상의 오일 가용성 화합물 B)의 용도에 관한 것이다.,라이만 베르너(독일);얀선 로베르트(네덜란드);크룰 마티아스(독일),C10L 1/143;C10L 1/1608;C10L 1/1641;C10L 1/1817;C10L 1/1981;C10L 1/2222;C10L 1/224;C10L 1/2383;C10L 10/14;C10L 10/18;C10M 101/00
1020160122108 ,2016.09.23,소켓 방수를 위한 씰런트 기밀구조를 가지는 볼조인트,본 발명은 씰런트 기밀구조를 가지는 볼조인트에 관한 것으로 더욱 상세하게는 볼조인트 내부로 이물질이 침투하지 못하도록 씰링부재가 설치된 볼조인트에 관한 것이다. 본 발명에 따르면 씰런트가 사출게이트의 입구를 막아 수분 또는 이물질이 침투하지 않도록 밀폐하는 역할을 하고 입구의 끝단에 경사부를 형성하여 씰런트가 얇게 펴지도록 하는 구조를 가지므로써 씰런트가 UV에 의해 단단히 경화되도록 하는 효과가 있다.,김상환(대한민국);김성록(대한민국);김영기(대한민국);김중현(대한민국);박성규(대한민국);송교문(대한민국),F16C 11/0604;F16C 11/0614;F16C 11/0666
1020100011899 ,2010.02.09,광대역 무선통신 시스템에서 시스템 정보 갱신 방법 및 장치,본 발명은 제1 슈퍼프레임헤더(P-SFH)와 제2 슈퍼프레임헤더(S-SFH)가 포함된 슈퍼프레임(Superframe)을 통해서 데이터를 송수신하는 광대역 무선접속 시스템의 시스템 정보 갱신 방법에 관한 것으로서 기지국으로부터 상기 P-SFH가 포함된 슈퍼프레임을 수신하는 단계 상기 수신된 슈퍼프레임에서 스케쥴링되어 전송되는 S-SFH 서브패킷을 나타내는 스케쥴링 정보 비트맵 S-SFH 변경 카운터(Chang Count) 및 S-SFH 서브패킷(SubPacket) 변경 비트맵(Change Bitmap)을 포함하는 P-SFH 정보요소(IE)를 복호하는 단계 기 저장된 변경 카운터와 상기 수신된 변경 카운터를 비교하는 단계 상기 변경 카운터 비교 결과 두 값의 차가 없을 경우 S-SFH 정보요소의 복호를 수행하지 않고 두 값의 차가 발생한 경우 기 저장된 서브패킷 변경 비트맵과 상기 수신된 서브패킷 변경 비트맵을 비교하는 단계 상기 서브패킷 변경 비트맵 비교 결과를 바탕으로 해당 S-SFH 정보요소를 복호 및 갱신하는 단계 및 상기 수신된 S-SFH의 변경 카운터 및 서브패킷 변경 비트맵을 저장하는 단계를 포함한다.,김용호(대한민국);류기선(대한민국);성두현(대한민국);육영수(대한민국);윤애란(대한민국);조희정(대한민국),H04W 24/02;H04W 48/08;H04W 72/121
1020140065102 ,2014.05.29,에폭시 솔더 페이스트의 제조방법 ,본 발명은 에폭시 솔더 페이스트는 주제 경화제 환원제가 포함되어 있는 제1 혼합물 솔더 합금 분말 주제 경화제 촉매이 포함되어 있는 제2 혼합물을 포함하고 제1 혼합물의 주제는 비스페놀 A 비스페놀 F 노볼락 에폭시 aliphatic 에폭시 Glycidylamine 에폭시 중 적어도 하나를 포함하고 제1 혼합물의 경화제는 호모폴리머리제이션 아민 언하이드라이드 페놀 Thiols 중 적어도 하나를 포함하고 제1 혼합물의 환원제는 Oxalic acid Malonic acid Glutaric acid Adipic acid Pimelic acid Suberic acid Azelaic acid Sebacic acid 중 적어도 하나를 포함하고 솔더 합금 분말은 Pb가 포함된 Pb-Sn계와 Pb-free Sn-Ag-Cu Sn-Ag Sn-Cu Sn-Bi Sn-Bi-Ag Sn-Bi-Ag-In Sn-Ag-Cu-Bi계 중 적어도 하나로 구성되어 있으며 에폭시 주제 경화제 환원제가 포함되어 있는 제1 혼합물을 제조하는 단계 제1 혼합물과 솔더 합금 분말을 혼합하여 제조된 사전 에폭시 솔더 페이스트(pre epoxy solder paste)를 제조하는 단계 사전 에폭시 솔더 페이스트의 물리적 특성(에폭시 경화 점도)을 최적화시키기 위한 에폭시 주제 경화제 촉매가 포함되어 있는 제 2 혼합물을 제조하는 단계 사전 에폭시 솔더 페이스트와 제2 혼합물을  혼합하여 최종 에폭시 솔더 페이스트(epoxy solder paste)를 제조하는 단계를 포함할 수 있다.,문종태(대한민국);양재원(대한민국);추선우(대한민국),B22F 9/18
